depth;date;year;temp
30;06.08.1956;1956;5.6
0;11.09.1956;1956;19.1
2.5;11.09.1956;1956;18.7
5;11.09.1956;1956;16.9
7.5;11.09.1956;1956;13.5
10;11.09.1956;1956;9.4
12.5;11.09.1956;1956;8
15;11.09.1956;1956;7.1
17.5;11.09.1956;1956;6.8
20;11.09.1956;1956;6.5
25;11.09.1956;1956;6.2
30;11.09.1956;1956;5.8
0;11.10.1956;1956;13.4
2.5;11.10.1956;1956;13.4
5;11.10.1956;1956;13.2
7.5;11.10.1956;1956;13.2
10;11.10.1956;1956;11.1
12.5;11.10.1956;1956;8.3
15;11.10.1956;1956;7.2
20;11.10.1956;1956;6.4
25;11.10.1956;1956;5.9
30;11.10.1956;1956;5.6
0;07.11.1956;1956;9.3
2.5;07.11.1956;1956;9.2
5;07.11.1956;1956;9.1
7.5;07.11.1956;1956;9.05
10;07.11.1956;1956;9
15;07.11.1956;1956;7.2
20;07.11.1956;1956;6.5
25;07.11.1956;1956;6.1
30;07.11.1956;1956;5.6
0;05.12.1956;1956;5.6
2.5;05.12.1956;1956;5.6
5;05.12.1956;1956;5.6
7.5;05.12.1956;1956;5.6
10;05.12.1956;1956;5.6
15;05.12.1956;1956;5.6
20;05.12.1956;1956;5.5
25;05.12.1956;1956;5.5
30;05.12.1956;1956;5.4
0;15.01.1957;1957;3.2
2.5;15.01.1957;1957;3.2
5;15.01.1957;1957;3.2
7.5;15.01.1957;1957;3.2
10;15.01.1957;1957;3.2
15;15.01.1957;1957;3.2
20;15.01.1957;1957;3.3
25;15.01.1957;1957;3.4
30;15.01.1957;1957;3.9
0;19.02.1957;1957;3.1
2.5;19.02.1957;1957;3.1
5;19.02.1957;1957;3
7.5;19.02.1957;1957;3
10;19.02.1957;1957;3
15;19.02.1957;1957;3.1
20;19.02.1957;1957;3.1
25;19.02.1957;1957;3.1
30;19.02.1957;1957;3.2
0;18.03.1957;1957;6.5
2.5;18.03.1957;1957;6.3
5;18.03.1957;1957;6.1
7.5;18.03.1957;1957;6
10;18.03.1957;1957;5.8
15;18.03.1957;1957;4.5
20;18.03.1957;1957;4.1
25;18.03.1957;1957;4.1
30;18.03.1957;1957;4.1
0;10.04.1957;1957;8.4
2.5;10.04.1957;1957;8.3
5;10.04.1957;1957;8.2
7.5;10.04.1957;1957;8.1
10;10.04.1957;1957;8.1
15;10.04.1957;1957;4.4
20;10.04.1957;1957;4.3
25;10.04.1957;1957;4.1
30;10.04.1957;1957;4.1
0;06.05.1957;1957;9.8
2.5;06.05.1957;1957;9.2
5;06.05.1957;1957;8.5
7.5;06.05.1957;1957;7.8
10;06.05.1957;1957;7.1
15;06.05.1957;1957;5.9
20;06.05.1957;1957;4.8
25;06.05.1957;1957;4.5
30;06.05.1957;1957;4.3
0;04.06.1957;1957;16.8
2.5;04.06.1957;1957;14.6
5;04.06.1957;1957;12.4
7.5;04.06.1957;1957;10.3
10;04.06.1957;1957;8.1
15;04.06.1957;1957;6.4
20;04.06.1957;1957;5.8
25;04.06.1957;1957;5.2
30;04.06.1957;1957;4.7
0;02.07.1957;1957;23.8
2.5;02.07.1957;1957;20.5
5;02.07.1957;1957;17.2
7.5;02.07.1957;1957;13.3
10;02.07.1957;1957;9.4
15;02.07.1957;1957;6.9
20;02.07.1957;1957;6
25;02.07.1957;1957;5.6
30;02.07.1957;1957;5.2
0;15.08.1957;1957;19.4
2.5;15.08.1957;1957;18.7
5;15.08.1957;1957;18.1
7.5;15.08.1957;1957;12.7
10;15.08.1957;1957;8.3
15;15.08.1957;1957;7.1
20;15.08.1957;1957;6.7
25;15.08.1957;1957;6.2
30;15.08.1957;1957;5.7
0;20.09.1957;1957;19.5
2.5;20.09.1957;1957;17.4
5;20.09.1957;1957;15.2
7.5;20.09.1957;1957;15
10;20.09.1957;1957;10.8
15;20.09.1957;1957;7.3
20;20.09.1957;1957;6.5
25;20.09.1957;1957;6.2
30;20.09.1957;1957;5.8
0;30.10.1957;1957;11.3
2.5;30.10.1957;1957;11.4
5;30.10.1957;1957;11.5
7.5;30.10.1957;1957;11.4
10;30.10.1957;1957;11.4
15;30.10.1957;1957;7.1
20;30.10.1957;1957;6.4
25;30.10.1957;1957;6.2
30;30.10.1957;1957;6.1
0;21.11.1957;1957;8.4
2.5;21.11.1957;1957;8.5
5;21.11.1957;1957;8.7
7.5;21.11.1957;1957;8.6
10;21.11.1957;1957;8.6
15;21.11.1957;1957;6.9
20;21.11.1957;1957;6.3
25;21.11.1957;1957;6.1
30;21.11.1957;1957;5.9
0;17.12.1957;1957;5.4
2.5;17.12.1957;1957;5.4
5;17.12.1957;1957;5.5
7.5;17.12.1957;1957;5.5
10;17.12.1957;1957;5.5
15;17.12.1957;1957;5.5
20;17.12.1957;1957;5.5
25;17.12.1957;1957;5.5
30;17.12.1957;1957;5.6
0;22.01.1958;1958;3.3
2.5;22.01.1958;1958;3.3
5;22.01.1958;1958;3.3
7.5;22.01.1958;1958;3.3
10;22.01.1958;1958;3.3
12.5;22.01.1958;1958;3.3
15;22.01.1958;1958;3.3
17.5;22.01.1958;1958;3.4
20;22.01.1958;1958;3.4
25;22.01.1958;1958;3.5
30;22.01.1958;1958;3.7
0;19.02.1958;1958;3.4
2.5;19.02.1958;1958;3.4
5;19.02.1958;1958;3.4
7.5;19.02.1958;1958;3.4
10;19.02.1958;1958;3.3
12.5;19.02.1958;1958;3.5
15;19.02.1958;1958;3.5
17.5;19.02.1958;1958;3.5
20;19.02.1958;1958;3.4
25;19.02.1958;1958;3.5
30;19.02.1958;1958;3.7
0;18.03.1958;1958;3.1
2.5;18.03.1958;1958;3.1
5;18.03.1958;1958;3.1
7.5;18.03.1958;1958;3.1
10;18.03.1958;1958;3.1
12.5;18.03.1958;1958;3.1
15;18.03.1958;1958;3.1
17.5;18.03.1958;1958;3.15
20;18.03.1958;1958;3.2
25;18.03.1958;1958;3.2
30;18.03.1958;1958;3.3
0;17.04.1958;1958;5.15
2.5;17.04.1958;1958;5.1
5;17.04.1958;1958;4.8
7.5;17.04.1958;1958;4.7
10;17.04.1958;1958;4.65
12.5;17.04.1958;1958;4.65
15;17.04.1958;1958;4.65
17.5;17.04.1958;1958;4.65
20;17.04.1958;1958;4.6
25;17.04.1958;1958;4.6
30;17.04.1958;1958;4.5
0;20.05.1958;1958;17.1
2.5;20.05.1958;1958;13.2
5;20.05.1958;1958;12.1
7.5;20.05.1958;1958;9.1
10;20.05.1958;1958;7.2
12.5;20.05.1958;1958;6.6
15;20.05.1958;1958;6.2
17.5;20.05.1958;1958;6
20;20.05.1958;1958;5.8
25;20.05.1958;1958;5.6
30;20.05.1958;1958;5
0;17.06.1958;1958;23.4
2.5;17.06.1958;1958;18.9
5;17.06.1958;1958;16.8
7.5;17.06.1958;1958;10
10;17.06.1958;1958;9.2
12.5;17.06.1958;1958;7.85
15;17.06.1958;1958;7.2
17.5;17.06.1958;1958;6.8
20;17.06.1958;1958;6.7
25;17.06.1958;1958;6.7
30;17.06.1958;1958;6
0;16.07.1958;1958;23.2
2.5;16.07.1958;1958;23.6
5;16.07.1958;1958;17.9
7.5;16.07.1958;1958;14.2
10;16.07.1958;1958;10.5
12.5;16.07.1958;1958;9.1
15;16.07.1958;1958;9.1
17.5;16.07.1958;1958;7.3
